City,Country,Cloud,Date,Humid,Lat,Lng,Max_temp,Temp,Wind
Cherdyn',RU,94,1648093198,89,60.403,56.4787,20.26,20.26,2.39
Port Elizabeth,ZA,0,1648093198,86,-33.918,25.5701,69.31,68.81,18.41
Tuktoyaktuk,CA,20,1648093198,76,69.4541,-133.0374,-14.8,-14.8,17.27
Egvekinot,RU,15,1648093198,82,66.3167,-179.1667,13.5,13.5,1.41
Katsuura,JP,72,1648093076,64,35.1333,140.3,54.1,54.1,5.17
Cape Town,ZA,40,1648092979,86,-33.9258,18.4232,66.61,65.73,14.97
Bubaque,GW,9,1648093199,73,11.2833,-15.8333,74.19,74.19,9.78
Rikitea,PF,100,1648093200,71,-23.1203,-134.9692,79.61,79.61,12.55
Norrtälje,SE,13,1648093200,74,59.758,18.705,37.02,36.93,6.53
Barrow,US,0,1648093200,71,71.2906,-156.7887,-5.78,-5.78,14.97
Yellowknife,CA,20,1648093201,80,62.456,-114.3525,5.56,5.09,5.75
Yangi Marg`ilon,UZ,100,1648093201,81,40.4272,71.7189,41.72,41.72,4.61
Busselton,AU,0,1648093201,35,-33.65,115.3333,77.02,77.02,9.13
Castro,BR,94,1648093201,92,-24.7911,-50.0119,63.36,63.36,4.5
Tasiilaq,GL,100,1648093202,68,65.6145,-37.6368,8.76,8.76,7.11
Avarua,CK,100,1648093202,78,-21.2078,-159.775,82.45,82.45,10.36
Airai,TL,98,1648093203,73,-8.9266,125.4092,70.2,70.2,1.79
Balakhninskiy,RU,90,1648093203,79,58.0106,114.2769,21.42,21.42,2.62
Narsaq,GL,71,1648093203,78,60.9167,-46.05,23.22,23.22,7.34
Vaini,TO,100,1648093204,94,-21.2,-175.2,75.36,75.36,4.61
Evensk,RU,100,1648093204,92,61.95,159.2333,23.41,23.41,9.33
Oodweyne,SO,37,1648093204,58,9.4092,45.064,74.26,74.26,5.88
Qaanaaq,GL,99,1648093204,78,77.484,-69.3632,-13.67,-13.67,7.67
Malpe,IN,70,1648093205,72,13.35,74.7167,78.1,78.1,5.23
Punta Arenas,CL,0,1648093205,49,-53.15,-70.9167,46.51,46.51,17.27
Kungurtug,RU,72,1648093205,63,50.5994,97.5228,16.63,16.63,0.87
Atuona,PF,99,1648093206,77,-9.8,-139.0333,79.36,79.36,15.95
Saskylakh,RU,94,1648093206,95,71.9167,114.0833,-1.48,-1.48,4.38
Bambous Virieux,MU,40,1648093207,83,-20.3428,57.7575,82.22,79.05,5.75
Cloquet,US,100,1648093207,92,46.7216,-92.4594,32.68,32.18,6.91
Punuare,HN,71,1648093208,67,14.7333,-85.9667,73.11,73.11,8.12
Hobart,AU,75,1648093139,52,-42.8794,147.3294,68.05,67.15,14.97
Vanimo,PG,100,1648093209,69,-2.6741,141.3028,85.08,85.08,6.24
Norman Wells,CA,20,1648093209,65,65.282,-126.8329,-0.36,-0.36,5.75
La Roche-sur-Yon,FR,0,1648093209,70,46.6667,-1.4333,37.67,37.67,6.91
